Farm,Date,Plot,Size,Plant Type,Notes,ID,DBH01,DBH02,DBH03,DBH04,DBH05,DBH06,DBH07,DBH08,DBH09,DBH10,DBH11,DBH12,DBH13,DBH14,DBH15,DBH16,DBH17,DBH18,DBH19,DBH20,DBH21,DBH22,DBH23
UTUA2,5/14/23,3,30x30,Ci,,34,8.6,13.1,10.7,4.5,4.9,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,35,4.5,8.5,6.6,10.4,7.8,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,36,14.4,11,15.3,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,37,13.7,6.8,5.1,8,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,38,5.1,12,9.2,10.1,1.1,11,5.9,3.2,3.6,3.7,7,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Tr,,39,7.9,9.3,,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,40,6.5,6,10.8,5.65,3.6,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,41,5.8,10.5,6.7,4.9,7.2,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,42,7.7,6.85,4.5,4.2,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,43,4.6,10.9,9.6,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,44,8.1,14.2,6.5,8.5,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,45,5.3,7.3,7.9,10.3,11.2,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,Has a dead branch,46,12.7,10.1,6.4,3.6 *,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,47,14.3,9.7,4.3,3.8,5,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,48,9.2,7.6,9.6,8.6,18.5,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,Dead citrus,49,13.8,,,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,50,7.8,12,9.7,11.4,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,51,5.65,10.5,13.1,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Tr,Small tree -- we had a discussion about including it or not,52,2.8,,,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,53,9.9,4.9,7,7.5,12.2,4.2,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,54,4,6.1,4.1,4.9,7.85,4.8,9.55,5,6.8,8.45,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,55,4,5.5,7.7,3.4,3.5,5.1,7.05,10.2,11,8,5.6,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,56,5.9,5.5,3.4,14.1,3.3,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Tr,Dead tree,57,16.3,4.5,4.5,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,58,4.5,2.6,9.2,12.75,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,Has two dead branches,59,4.8,9.5,6.1 *,11.6,7.4 *,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,60,10,5.4,7.6,10.25,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,Dead tree,61,4.6,8.6,6.2,3.6,9.3,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,Has five dead branches,62,9,5.2,6.5,9.6 *,4.1 *,5.9 *,7.3 *,8.7 *,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,63,6,6.4,7,7,9.2,10.7,7.8,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,64,11.3,8,11,7,6.7,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,65,4.8,8.4,2.8 *,6,3.65,6.2,6.2,8.2,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,66,4.4,6.5,7,11,2.7 *,15.5,2.7 *,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,67,5.3,10.3,,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,68,11.15,9.6,4.8,4.6,10.8,6.8,6.7,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,69,11.4,11.1,10.7,5,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,30x30,Ci,,70,12.4,5.3,6.1,7.6,9.8,4.5,4.9,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,"Trees are missing, used 30x30 trees",NA,1.29,1.72,,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,,NA,1.5,1.86,1,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,,NA,2.05,1.71,1.59,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,,NA,1.3,1.9,1.52,1.7,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,,NA,1.2,1.5,2,2.7,0.99,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,,NA,0.66,0.9,0.92,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,,NA,1.5,2.1,1.6,1.8,1,2.3,0.87,1.29,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,,NA,2.1,2.1,1.4,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,,NA,0.75,0.79,1.4,1.12,0.8,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,,NA,2.3,1.7,2.2,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,,NA,0.67,0.72,,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,,NA,2.5,,,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,,NA,1.16,2.53,,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,,NA,2.82,,,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,,NA,0.74,,,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,,NA,1.86,,,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,,NA,1,1.63,2.6,1.12,0.8,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,,NA,2.27,,,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,,NA,1.05,,,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,,NA,1,1.27,0.81,1.56,1.23,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,,NA,1.16,1.95,0.72,1.15,0.61,0.56,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,3,10x10,Co,,NA,1.88,1.21,1.98,1.4,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,2,10x10,Ci,,71,8.7,8.7,6.7 *,11.6,5.1,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,2,10x10,Shrub?,,NA,0.65,0.64,0.69,0.81,0.43,0.54,0.6,,,,,,,,,,,,,,,,
UTUA2,5/14/23,2,10x10,Ci,,72,17.8,12.4,,,,,,,,,,,,,,,,,,,,,
UTUA2,5/14/23,2,10x10,Ci,,73,9.8,3,10.8,1.5,0.68,1.22,2.12,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Mango tree,80,82.7,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Achiote tree,81,8.45,4.7,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Ci,Citrus tree,82,5.4,4.1,1.9,1.1,0.9,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Shrub,83,3.1,1.1,1.2,2.2,1.5,2,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Ba,Banana,84,14.2,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Ba,Banana,85,10.9,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree (pan.),86,15.3,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree (pan.),87,11.2,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree  ,88,13.1,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Sentilla apple,89,30.5,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Ba,Banana,90,13,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree (panna),91,17.6,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree (panna) ,92,20.4,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree (panna),93,10.3,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree,94,43.4,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree,95,45.9,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree,96,10.6,9.5,7.6,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Guava,97,5.9,2.3,3.4,2.45,1.6,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree,98,49.6,17.7,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree,99,14.9,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree,100,28.1,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree (sentilla apple),101,31.9,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Guanabana tree,102,15.75,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Ba,Banana,103,12.7,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree (panna),104,7.1,14.5,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree (panna),105,12.4,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree (Sentilla apple),106,27.3,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree (guaraguao),107,6.7,6.2,3.8,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Ba,Banana,108,11.1,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree,109,14,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Palm (coconut),110,32.5,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree,111,12.3,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree (guaraguao),112,56,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree (Sentilla apple),113,25.9,23.5,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Shrub,114,3.2,3.3,2.5,3.1,1.7,2.1,2.6,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree,115,27.5,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree (coco palm),116,27,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Ba,Banana,117,16.1,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Royal Palm,118,35,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Ba,Banana,119,12.1,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree pihito,120,29.5,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree (pods),121,18.5,24.5,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Ba,Banana,122,12.1,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Ba,Banana,123,12.9,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree,124,7.8,4.8,2.9,4.1,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree (guaraguao),125,16,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree,126,24.2,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree,127,25.25,3.5,2,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree (dead),128,66.5,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree (guagua),129,9.5,7,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree (palm),130,27,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,Tree,131,15,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,30X30,Tr,,132,2.85,2.95,2.95,4.03,2.65,1.55,1.8,2.85,4.2,4.8,4.2,,,,,,,,,,,,
UTUA16,5/15/23,2,10x10,Tr,Starfruit,NA,9.4,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,10x10,Tr,Avocado,NA,1.56,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,10x10,Tr,African Tul.,NA,0.68,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,10x10,Tr,Tree,NA,1.83,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,10x10,Tr,Dead,NA,67,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,10x10,Tr,Tree,NA,5.45,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,10x10,Tr,Tree,NA,2.04,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,10x10,Tr,Maria,NA,3.48,1.33,2.42,1.62,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,10x10,Tr,Breafruit,NA,6.7,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,10x10,Tr,Breafruit,NA,9.5,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,10x10,Tr,Tree,NA,1.08,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,10x10,Ci,Citrus,NA,57.9,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,10x10,Tr,Guaraguao,NA,26,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,10x10,Tr,?,NA,3.06,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,10x10,Tr,Neem,NA,0.93,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,10x10,Tr,Tree,NA,2.83,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,10x10,Tr,?,NA,2.62,3.69,1.82,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,10x10,Tr,Tree,NA,16.3,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,10x10,Tr,Trunk tree,NA,2.87,,,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,2,10x10,In,Inga,NA,7.6,9.2,1.99,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,3,10x10,Ci,Citr.,NA,0.85,0.45,0.35,1.85,1.2,0.5,1.05,2.75,1.95,1.82,,,,,,,,,,,,,
UTUA16,5/15/23,3,10x10,Ci,Citr.,NA,2.15,1.92,2.1,0.6,2.65,0.37,0.42,0.5,0.3,,,,,,,,,,,,,,
UTUA16,5/15/23,3,10x10,Ci,Citr.,NA,3.2,4.2,4.6,,,,,,,,,,,,,,,,,,,,
UTUA16,5/15/23,3,10x10,Ci,Citr.,NA,1.5,4,0.9,2.05,3.4,,,,,,,,,,,,,,,,,,
UTUA18,5/16/23,2,30x30,Ci,Citrus,140,5.1,6.85,8.3,5.85,2.7,7.6,4,,,,,,,,,,,,,,,,
UTUA18,5/16/23,2,30x30,Tr,Guava,141,4.3,4.8,4.8,2,,,,,,,,,,,,,,,,,,,
UTUA18,5/16/23,2,30x30,Co,Robusta,142,5.5,2.5,2.1,1.7,1.8,1.5,2.3,1.8,1.4,1.9,,,,,,,,,,,,,
UTUA18,5/16/23,2,30x30,Co,Robusta,143,2,1.71,1.37,2.1,6.42,3.3,2.87,1.22,4.22,1.485,,,,,,,,,,,,,
UTUA18,5/16/23,2,30x30,Tr,Guanabana,144,15.5,6.5,,,,,,,,,,,,,,,,,,,,,
UTUA18,5/16/23,2,30x30,Tr,Mango,145,15.3,,,,,,,,,,,,,,,,,,,,,,
UTUA18,5/16/23,2,30x30,Tr,Hobo,146,58.5,,,,,,,,,,,,,,,,,,,,,,
UTUA18,5/16/23,2,30x30,Ci,Citrus,147,60.5,6.5,,,,,,,,,,,,,,,,,,,,,
UTUA18,5/16/23,2,30x30,Tr,Quenepa,148,11,7,4,3,,,,,,,,,,,,,,,,,,,
UTUA18,5/16/23,2,30x30,Co,Coffee (Arab),149,2.1,2.35,1.22,1.37,,,,,,,,,,,,,,,,,,,
UTUA18,5/16/23,2,30x30,In,Inga Vera,150,17.5,,,,,,,,,,,,,,,,,,,,,,
UTUA18,5/16/23,2,30x30,In,Inga Vera,151,7,5.5,,,,,,,,,,,,,,,,,,,,,
UTUA18,5/16/23,2,30x30,In,Inga Vera,152,11.5,11.5,,,,,,,,,,,,,,,,,,,,,
UTUA18,5/16/23,2,30x30,Tr,Guanabana,153,4.9,2.65,2.62,2.4,1.35,1.3,1.82,1.17,,,,,,,,,,,,,,,
UTUA18,5/16/23,2,30x30,Co,Robusta,154,2.85,2.3,2.55,2.15,2.4,3.05,3.45,1.35,2.72,2.35,3,2.6,2.3,2.75,3.42,1.85,2.75,2.2,2.85,1.95,1.35,1.95,
UTUA18,5/16/23,2,30x30,In,Inga Vera,155,17.8,12.5,14.3,7,,,,,,,,,,,,,,,,,,,
UTUA18,5/16/23,2,30x30,Ci,Citrus,156,4.6 *,7,4,7.1,,,,,,,,,,,,,,,,,,,
UTUA18,5/16/23,2,30x30,In,Inga Vera,157,1.3,3.6,2.8,4.1,2.55,,,,,,,,,,,,,,,,,,
UTUA18,5/16/23,2,30x30,In,Inga Vera,158,33.5 *,,,,,,,,,,,,,,,,,,,,,,
UTUA18,5/16/23,2,10x10,Tr,Guanabana,NA,4.48,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot South,10x10,Ba,Banana,NA,9.6,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot South,10x10,Tr,Tr,NA,26.5,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot South,10x10,Co,Co ,NA,1.71,2.27,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot South,10x10,Ba,Banana,NA,8.5,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot South,10x10,Ba,Banana,NA,7.3,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot South,10x10,Ba,Banana,NA,9.9,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot South,10x10,Ba,Banana,NA,13.5,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot South,10x10,Ba,Banana,NA,9.4,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot South,10x10,Ba,Banana,NA,12.5,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot South,10x10,Tr,Tree,NA,24,31.2,29.8,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot South,10x10,Ba,Banana,NA,14.4,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot South,10x10,Co,Co,NA,2.69,1.4,2.14,0.58,0.87,0.927,1.655,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot South,10x10,Ba,Banana,NA,7.5,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot South,10x10,Ba,Banana,NA,12.2,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot South,10x10,Ba,Banana,NA,5.49,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot South,10x10,Ba,Banana,NA,7.2,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot South,10x10,Co,Co,NA,1.89,1.545,1.55,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot South,10x10,Ba,Banana,NA,4.3,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot South,10x10,Ba,Banana,NA,8.21,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot South,10x10,Ba,Banana,NA,11.1,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot South,10x10,Ba,Banana,NA,7.9,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot North,10x10,Co,Co,NA,1.73,1.12,1.55,1.78,1.78,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot North,10x10,Tr,Tree (small),NA,0.74,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot North,both,Tr,"Big tree, almost dead",159,18.4,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot North,10x10,Ci,Citrus,NA,3.5,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot North,both,Co,Co,160,2.32,1.49,1.77,1.85,1.61,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot North,10x10,Co,Co,161,1.84,0.99,2.07,1.86,1.57,1.21,1.67,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot North,10x10,Co,Co,NA,1.78,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot North,10x10,Ci,Ci,NA,1.98,1.37,0.84,1.02,0.94,1.32,1.71,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot North,10x10,Co,Co,NA,1.94,1,2.24,1.08,1.32,1.71,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot North,both,Tr,Tree (large),162,20.5,,,,,,,,,,,,,,,,,,,,,,
UTUA20,5/16/23,Plot North,10x10,Co,Co,NA,1.12,0.86,,,,,,,,,,,,,,,,,,,,,
